keyword,search_volume,search_volume_category,competition,cpc,commercial_intent,relevance_score,difficulty_score,difficulty_category,match_type,intent_type,search_intent,keyword_theme,source,preliminary_match_type,competitor_type,location_type,longtail_type,intent_theme_group,estimated_clicks,estimated_cost,estimated_conversions,estimated_roas,priority_score,recommended_bid
zomato food delivery india,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,broad_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
best food delivery app,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,broad_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
online food ordering,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,broad_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
restaurant finder india,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,broad_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
food delivery near me,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,broad_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
zomato restaurant discovery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,broad_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
order food online,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,broad_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
indian food delivery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,broad_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
zomato food delivery service,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,phrase_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
largest food delivery service india,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,phrase_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
zomato food delivery app,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,exact_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
zomato restaurant finder,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,exact_match,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
+zomato +food +delivery +india,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,modified_broad,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
+zomato +restaurant +discovery +service,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,modified_broad,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
+zomato +online +food +ordering,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,modified_broad,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
+best +food +delivery +app +india,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,modified_broad,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
+zomato +food +delivery +app,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,modified_broad,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
+order +food +online +zomato,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,modified_broad,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
+largest +food +delivery +service +india,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,modified_broad,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
+zomato +restaurant +finder,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,modified_broad,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
what is Zomato Pro?,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
best restaurants near me Zomato,1000,high,0.3,1.4,0.3,0.3999999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.345,1.62
how does Zomato delivery work?,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato restaurant reviews,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
how to use Zomato Gold,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
