keyword,search_volume,competition_level,current_cpc,commercial_intent,target_cpa,conversion_rate,target_cpc,adjusted_cpc,priority,bid_strategy,expected_roas,budget_allocation,recommendation
food delivery india,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
online food order,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
best restaurants near me,1000,0.3,1.4,0.3,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
zomato food delivery,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
best restaurants in india,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
online food ordering service,1000,0.3,1.4,0.3,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
discover best restaurants zomato,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
food delivery options near me,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
best restaurants on zomato,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
download zomato app,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
find restaurants near me zomato,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
+zomato +food +delivery,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
+zomato +best +restaurants,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
+order +food +online +india,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
+zomato +restaurant +discovery,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
+food +delivery +app +india,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
+zomato +online +food +order,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
+find +restaurants +near +me,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
+swiggy +zomato +comparison,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
what is Zomato pro,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
how to find restaurants on Zomato,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
how to use Zomato app,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
what are the benefits of Zomato Gold,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
Zomato customer care,1000,0.3,1.4,0.0,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
top restaurants in Mumbai Zomato,1000,0.3,1.4,0.15,50.0,0.02,1.0,0.9,medium,balanced,2.22,0.018,Medium priority - balanced bidding recommended
